NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,NRec,Doppelt,number of correct recall,number of False recall,Present Recall,Past Recall,Other Recall,Positive Present Recall,Positive Past Recall,Positive Other Recall,Neg Present Recall,Neg Past Recall,Neg Other Recall,Neutral Present Recall,Neutral Past Recall,Neutral Other Recall
1,413,aren1964,81283,5,24,m,1,,113048,12,0,opportunistisch,wundervoll,emotional,eigenwillig,lieblos,herzlos,brilliant,intelligent,leidenschaftlich,geliebt,depressiv,schmerzhaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,2,5,5,2,2,1,0,2,2,0,1,2
2,405,STAR0462,80940,6,33,f,1,,53644,7,0,intelligent,opportunistisch,religioes,fromm,liebevoll,heftig,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,6,1,3,1,2,0,0,2,0,0,0,3,1,0
3,351,Jäar2939,79476,4,52,f,1,,20351,1,0,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4,408,ROTH2457,81003,1,54,f,1,,215174,8,0,kurz,introvertiert,hoffnungsvoll,pessimistisch,schuechtern,klug,unsympathisch,zaertlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,2,1,5,0,1,2,1,0,1,1,0,2
5,232,LURD3062,78700,3,20,f,1,,217925,14,0,simpel,kurz,schuechtern,still,ruhig,pessimistisch,witzig,klein,gemuetlich,klug,intellektuell,zuverlaessig,haesslich,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,13,1,6,1,6,2,0,2,1,1,1,3,0,3
6,237,Woen2868,78905,6,18,f,1,,123157,8,0,religioes,fromm,heftig,opportunistisch,froehlich,verletzt,freundlich,enthusiastisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,3,1,4,0,0,3,0,0,1,3,1,0
7,344,111111,79352,3,22,m,1,,69084,9,0,pessimistisch,klein,kurz,intellektuell,klug,beliebt,simpel,hoffnungsvoll,optimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,8,1,4,1,3,2,0,2,0,1,0,2,0,1
8,281,Spli2872,79021,6,20,f,1,,95988,9,0,herzlos,liebend,geliebt,opportunistisch,wuetend,unkonventionell,freudlos,religioes,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,7,2,5,1,1,0,0,1,2,0,0,3,1,0
9,282,KAUS0469,79029,5,20,f,1,,28791,1,0,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
10,219,MOEL2967,78397,1,20,f,1,,63552,8,0,klug,zahm,intelligent,fortschrittlich,sympathisch,vertrauensvoll,klein,kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,5,3,0,1,4,0,0,2,0,0,0,0,1,2
