NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,NRec,Doppelt,number of correct answer,number of False answer,probable typo,correct Recall rate,False recall rate,Present Recall rate,Past Recall rate,Other Recall rate,Present FPR,Past FPR,Other FPR
1,413,aren1964,81283,5,24,m,1,,113048,opportunistisch,wundervoll,emotional,eigenwillig,lieblos,herzlos,brilliant,intelligent,leidenschaftlich,geliebt,depressiv,schmerzhaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,0,1,0,0.133333333,0.333333333,0.333333333,0.866666667,0.666666667,0.666666667
2,405,STAR0462,80940,6,33,f,1,,53644,intelligent,opportunistisch,religioes,fromm,liebevoll,heftig,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,6,1,0,0.857142857,0.142857143,0.2,0.066666667,0.133333333,0.8,0.933333333,0.866666667
3,351,Jäar2939,79476,4,52,f,1,,20351,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0.066666667,1,1,0.933333333
4,408,ROTH2457,81003,1,54,f,1,,215174,kurz,introvertiert,hoffnungsvoll,pessimistisch,schuechtern,klug,unsympathisch,zaertlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,0,1,0,0.133333333,0.066666667,0.333333333,0.866666667,0.933333333,0.666666667
5,232,LURD3062,78700,3,20,f,1,,217925,simpel,kurz,schuechtern,still,ruhig,pessimistisch,witzig,klein,gemuetlich,klug,intellektuell,zuverlaessig,haesslich,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,13,1,0,0.928571429,0.071428571,0.4,0.066666667,0.4,0.6,0.933333333,0.6
6,237,Woen2868,78905,6,18,f,1,,123157,religioes,fromm,heftig,opportunistisch,froehlich,verletzt,freundlich,enthusiastisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,0,1,0,0.2,0.066666667,0.266666667,0.8,0.933333333,0.733333333
7,344,111111,79352,3,22,m,1,,69084,pessimistisch,klein,kurz,intellektuell,klug,beliebt,simpel,hoffnungsvoll,optimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,8,1,0,0.888888889,0.111111111,0.266666667,0.066666667,0.2,0.733333333,0.933333333,0.8
8,281,Spli2872,79021,6,20,f,1,,95988,herzlos,liebend,geliebt,opportunistisch,wuetend,unkonventionell,freudlos,religioes,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,7,2,0,0.777777778,0.222222222,0.333333333,0.066666667,0.066666667,0.666666667,0.933333333,0.933333333
9,282,KAUS0469,79029,5,20,f,1,,28791,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0.066666667,0,1,0.933333333,1
10,219,MOEL2967,78397,1,20,f,1,,63552,klug,zahm,intelligent,fortschrittlich,sympathisch,vertrauensvoll,klein,kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,5,3,0,0.625,0.375,0,0.066666667,0.266666667,1,0.933333333,0.733333333
11,382,KÜER1170,79571,1,20,f,1,,126032,klein,intellektuell,gross,loyal,asozial,dumm,haesslich,behindert,schoen,fortschrittlich,zaertlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,9,2,0,0.818181818,0.181818182,0.133333333,0.266666667,0.2,0.866666667,0.733333333,0.8
12,85,KÜEL1652,76915,5,35,f,1,,175217,depressiv,heftig,warmherzig,froehlich,gluecklich,lieblos,unkonventionell,egoistisch,wuetend,talentiert,intelligent,warhmerzig,opportunistisch,unbeirrbar,enthusiastisch,bereitwillig,eigenwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,16,1,1,0.941176471,0.058823529,0.333333333,0.6,0.133333333,0.666666667,0.4,0.866666667
13,220,TOUK0262,78407,6,26,f,1,,119782,bildschoen,stolz,talentiert,eigensinnig,liebevoll,opportunistisch,unbeirrbar,egoistisch,wuetend,impulsiv,individualistisch,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,11,1,0,0.916666667,0.083333333,0.266666667,0.133333333,0.333333333,0.733333333,0.866666667,0.666666667
14,86,Evrt1063,76921,4,29,f,1,,6848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1
15,286,kafo1566,79043,3,20,f,1,,136245,kurz,pessimistisch,optimistisch,zart,mutig,huebsch,durchschnittlich,bedacht,einfuehlsam,klug,klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,8,3,0,0.727272727,0.272727273,0.2,0.2,0.133333333,0.8,0.8,0.866666667
16,287,Moan,79027,4,26,f,1,,108383,fromm,religioes,opportunistisch,hasserfuellt,warmherzig,gluecklich,ungluecklich,herzlos,individualistisch,wuetend,heftig,unsicher,unbeirrbar,intelligent,bildschoen,wundervoll,lieblos,geehrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,17,1,0,0.944444444,0.055555556,0.133333333,0.266666667,0.733333333,0.866666667,0.733333333,0.266666667
17,221,COSE0955,78413,5,24,f,1,,10671,individualistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0.066666667,0,0,0.933333333,1,1
18,93,At,76950,6,40,m,1,,8610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1
19,90,Maef0664,76936,5,29,f,1,,88599,opportunistisch,unkonventionell,gluecklich,leidenschaftlich,aengstlich,frustriert,talentiert,intelligent,depressiv,egoistisch,impulsiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,0,1,0,0.2,0.4,0.133333333,0.8,0.6,0.866666667
20,291,TEIN262,79054,2,25,f,1,,104538,kurz,dumm,unsympathisc,optimistisch,deprimiert,simpel,witzig,intellektuell,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,6,3,0,0.666666667,0.333333333,0.2,0.2,0,0.8,0.8,1
21,294,GHAN1366,79058,4,20,w,1,,38791,leidenschaftlich,religioes,wuetend,frustrierend,gluecklich,talentiert,lieblos,herzlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,7,1,0,0.875,0.125,0,0,0.466666667,1,1,0.533333333
22,295,nd,79059,6,21,m,1,,76345,eigensinnig,enthusiastisch,gluecklich,aufgeweckt,fromm,talentiert,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,1,0,0.2,0.133333333,0.133333333,0.8,0.866666667,0.866666667
23,91,MAEF0664,76941,3,27,f,1,,134062,kurz,loyal,klein,hoffnungsvoll,entstellt,winzig,schuechtern,leise,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,8,1,0,0.888888889,0.111111111,0.133333333,0.133333333,0.266666667,0.866666667,0.866666667,0.733333333
24,223,EVNG0766,78447,6,20,m,1,,114905,wuetend,frustriert,opportunistisch,herzlos,warmherzig,unbeirrbar,unkonventionell,selbstzufrieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,0,1,0,0.466666667,0.066666667,0,0.533333333,0.933333333,1
25,299,SCCH2161,79072,5,22,f,1,,72662,opportunistisch,wundervoll,heftig,bildhuebsch,wuetend,talentiert,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,6,1,0,0.857142857,0.142857143,0,0.333333333,0.066666667,1,0.666666667,0.933333333
26,300,NEAN2770,79075,3,21,f,1,,130148,kurz,klug,unsympathisc,klein,winzig,ruhig,still,haesslich,asozial,ungesund,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,10,1,0,0.909090909,0.090909091,0.266666667,0.2,0.2,0.733333333,0.8,0.8
