subj_counter_global,PreNegRe,PreNegRT,PreNeuRe,PreNeuRT,PrePosRe,PrePosRT,PasNegRe,PasNegRT,PasNeuRe,PasNeuRT,PasPosRe,PasPosRT,OthNegRe,OthNegRT,OthNeuRe,OthNeuRT,OthPosRe,OthPosRT
1,2,1689,2.57142857142857,3510.71428571429,3,3610,2,1930.5,2.66666666666667,1148.33333333333,3.5,3386.66666666667,2.16666666666667,2885.33333333333,3,2288.4,3,3212.5
2,2,26119,2.5,2696.16666666667,3.57142857142857,1966.14285714286,2,2814.83333333333,2.16666666666667,2214.66666666667,3,2298,1.42857142857143,2415.28571428571,2.66666666666667,2315.33333333333,3.2,3551.2
5,2,16135,3,21748.1666666667,3.14285714285714,21577.8571428571,2.5,24843.25,3,18012.6666666667,4,26657.5,2.6,28219,3.33333333333333,19296.5,3.75,16065
10,2.4,12666.6,3.8,6565.4,3,7323.2,2.25,6599.25,3.33333333333333,9722.33333333333,3.5,6679.875,2,5432.16666666667,3.42857142857143,8121.57142857143,5,5592.5
13,2.42857142857143,6523.42857142857,3.5,5255.25,3,8360.75,2.66666666666667,10971.3333333333,3.16666666666667,4537.66666666667,4,9386.33333333333,2,4527.2,2.6,5059.6,4.2,4817.4
14,2.25,11946,3.2,6590.8,3.16666666666667,4416,3.83333333333333,12324.8333333333,3.25,5328,4,5768.2,2.8,10744.6,4.16666666666667,6992.33333333333,4,4915.25
15,2.5,7721,2.8,5186.4,4.5,4373.625,1.55555555555556,4668.55555555556,2.25,3521.5,3.5,5734,1,2406.75,3.16666666666667,4527.16666666667,4.4,4019.6
17,1.44444444444444,3514,4.33333333333333,11826.3333333333,4,3218.66666666667,1.75,5643.75,3.2,3625.4,2.33333333333333,11950.8333333333,2.5,4021.5,3.42857142857143,6127.71428571429,3.83333333333333,2928.83333333333
19,1.6,4385.2,2.14285714285714,5076.42857142857,4,3418.66666666667,1.8,5235.2,3,3646.6,3.4,4328.2,1.2,3817.4,3,2816.33333333333,3.14285714285714,5734.14285714286
21,2.75,5617.5,4.16666666666667,3772.16666666667,3.6,5658.8,2.4,7239,4.4,4009.8,3.4,5960.2,1.83333333333333,3960,3,9158.5,2.6,3120.6
22,2.125,16795.5,4.4,13110.4,3,6481.5,1.33333333333333,18900,2.75,19618.875,4.5,6778.75,2.25,38746.25,2,13926.5,4.33333333333333,9152.55555555555
23,3.16666666666667,6090.66666666667,3,4091.75,4,3957,3.16666666666667,6284.33333333333,1.75,4044.5,2.2,4002,2,6720.33333333333,3,3890.42857142857,4.2,2771.8
