NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45
1,413,aren1964,81283,5,24,m,1,,113048,12,,opportunistisch,wundervoll,emotional,eigenwillig,lieblos,herzlos,brilliant,intelligent,leidenschaftlich,geliebt,depressiv,schmerzhaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,405,STAR0462,80940,6,33,f,1,,53644,7,,intelligent,opportunistisch,religioes,fromm,liebevoll,heftig,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,351,Jäar2939,79476,4,52,f,1,,20351,1,,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,408,ROTH2457,81003,1,54,f,1,,215174,8,,kurz,introvertiert,hoffnungsvoll,pessimistisch,schuechtern,klug,unsympathisch,zaertlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,232,LURD3062,78700,3,20,f,1,,217925,14,,simpel,kurz,schuechtern,still,ruhig,pessimistisch,witzig,klein,gemuetlich,klug,intellektuell,zuverlaessig,haesslich,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,237,Woen2868,78905,6,18,f,1,,123157,8,,religioes,fromm,heftig,opportunistisch,froehlich,verletzt,freundlich,enthusiastisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,344,111111,79352,3,22,m,1,,69084,9,,pessimistisch,klein,kurz,intellektuell,klug,beliebt,simpel,hoffnungsvoll,optimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,281,Spli2872,79021,6,20,f,1,,95988,9,,herzlos,liebend,geliebt,opportunistisch,wuetend,unkonventionell,freudlos,religioes,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,282,KAUS0469,79029,5,20,f,1,,28791,1,,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,219,MOEL2967,78397,1,20,f,1,,63552,8,,klug,zahm,intelligent,fortschrittlich,sympathisch,vertrauensvoll,klein,kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,382,KÜER1170,79571,1,20,f,1,,126032,11,,klein,intellektuell,gross,loyal,asozial,dumm,haesslich,behindert,schoen,fortschrittlich,zaertlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,85,KÜEL1652,76915,5,35,f,1,,175217,17,1,depressiv,heftig,warmherzig,froehlich,gluecklich,lieblos,unkonventionell,egoistisch,wuetend,talentiert,intelligent,warhmerzig,opportunistisch,unbeirrbar,enthusiastisch,bereitwillig,eigenwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,220,TOUK0262,78407,6,26,f,1,,119782,12,,bildschoen,stolz,talentiert,eigensinnig,liebevoll,opportunistisch,unbeirrbar,egoistisch,wuetend,impulsiv,individualistisch,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,86,Evrt1063,76921,4,29,f,1,,6848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,286,kafo1566,79043,3,20,f,1,,136245,11,,kurz,pessimistisch,optimistisch,zart,mutig,huebsch,durchschnittlich,bedacht,einfuehlsam,klug,klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,287,Moan,79027,4,26,f,1,,108383,18,,fromm,religioes,opportunistisch,hasserfuellt,warmherzig,gluecklich,ungluecklich,herzlos,individualistisch,wuetend,heftig,unsicher,unbeirrbar,intelligent,bildschoen,wundervoll,lieblos,geehrt,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,221,COSE0955,78413,5,24,f,1,,10671,1,,individualistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,93,At,76950,6,40,m,1,,8610,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,90,Maef0664,76936,5,29,f,1,,88599,11,,opportunistisch,unkonventionell,gluecklich,leidenschaftlich,aengstlich,frustriert,talentiert,intelligent,depressiv,egoistisch,impulsiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,291,TEIN262,79054,2,25,f,1,,104538,9,,kurz,dumm,unsympathisc,optimistisch,deprimiert,simpel,witzig,intellektuell,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,294,GHAN1366,79058,4,20,w,1,,38791,8,,leidenschaftlich,religioes,wuetend,frustrierend,gluecklich,talentiert,lieblos,herzlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,295,nd,79059,6,21,m,1,,76345,7,,eigensinnig,enthusiastisch,gluecklich,aufgeweckt,fromm,talentiert,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,91,MAEF0664,76941,3,27,f,1,,134062,9,,kurz,loyal,klein,hoffnungsvoll,entstellt,winzig,schuechtern,leise,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,223,EVNG0766,78447,6,20,m,1,,114905,8,,wuetend,frustriert,opportunistisch,herzlos,warmherzig,unbeirrbar,unkonventionell,selbstzufrieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,299,SCCH2161,79072,5,22,f,1,,72662,7,,opportunistisch,wundervoll,heftig,bildhuebsch,wuetend,talentiert,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,300,NEAN2770,79075,3,21,f,1,,130148,11,,kurz,klug,unsympathisc,klein,winzig,ruhig,still,haesslich,asozial,ungesund,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,225,DORK0159,78463,3,33,m,1,,89821,7,,still,schuechtern,klein,ehrlich,gut,ruhig,gelassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,303,Börd2854,79084,2,28,f,1,,76144,8,,klein,kurz,sympathisch,unsympathisch,haesslich,zuverlaessig,dumm,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,305,MAKA1869,79087,4,23,f,1,,137263,7,,enthusiastisch,religioes,schmerzhaft,geliebt,eigensinnig,liebevoll,krass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,306,Womi2270,79091,5,21,f,1,,90648,8,,lieblos,egoistisch,heftig,wundervoll,freundlich,gluecklich,fromm,eigensinnig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,307,BEEF1463,79092,4,24,f,1,,122204,6,,heftig,enthusiastisch,freundlich,geliebt,herzlos,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,309,BRNK0963,79111,1,18,f,1,,30430,5,,kurz,winzig,durchschnittlich,klug,schuechtern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,311,EJ2169,79115,6,18,nb,1,,46785,6,1,leidenschaftlich,unkonventionell,herzlich,opportunistisch,leidenschaftlich,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,121,D-AIPX15,77251,5,39,m,1,,91635,3,,herzlos,opportunistisch,ungeliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,314,KLIS1670,79133,5,20,f,1,,54747,8,,heftig,gluecklich,unbeirrbar,opportunistisch,unsicher,wuetend,wundervoll,geliebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,181,nird1265,77524,5,21,f,1,,231117,11,,religioes,fromm,talentiert,wuetend,unkonventionell,lieblos,opportunistisch,freundlich,enthusiastisch,eigensinnig,unbeirrbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,123,roze2609,77278,6,37,m,1,,138033,8,2,gluecklich,wundervoll,aengstlich,heftig,gluecklich,wundervoll,aergerlich,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
